P02,publication,2026,"Dampfhofer, S., & Onea, E. (2026). Shift Happens – When and Why Anaphoric Pronouns Prefer Shifted Gender. *Proceedings of the Conference Referential Expressions in Discourse (RED) 2025*.","@inproceedings{Dampfhofer_Onea_2026, author={Dampfhofer, S. and Onea, E.}, title={Shift Happens – When and Why Anaphoric Pronouns Prefer Shifted Gender}, year={2026}, booktitle={Proceedings of the conference Referential Expressions in Discourse (RED) 2025} }"
P03,talk,2024,"Elliott, P., & Kobayashi, F. H. (2024). *Ignorance under attitudes* [Poster]. Amsterdam Colloquium.","@misc{Elliott_Kobayashi_2024, author={Elliott, P. and Kobayashi, F. H.}, title={Ignorance under attitudes}, year={2024}, eventtitle={Amsterdam Colloquium} }"
P03,publication,2024,"Elliott, P., & Kobayashi, F. H. (2024). Ignorance under attitudes. *Proceedings of the 24th Amsterdam Colloquium*.","@inproceedings{Elliott_Kobayashi_2024, author={Elliott, P. and Kobayashi, F. H.}, title={Ignorance under attitudes}, year={2024}, booktitle={Proceedings of the 24th Amsterdam Colloquium} }"
P06,publication,To appear,"Gerard, J., Bleotu, A. C., & McDaniel, D. (To appear). In control or not? Acquisition of non-finite adjunct clauses in Romanian vs. English. *BUCLD Proceedings*.","@inproceedings{Gerard_Bleotu_McDaniel_To appear, author={Gerard, J. and Bleotu, A. C. and McDaniel, D.}, title={In control or not? Acquisition of non-finite adjunct clauses in Romanian vs. English}, year={To appear}, booktitle={BUCLD Proceedings} }"
P09,publication,2024,"Heidinger, S. (2024). Types of zero complements in French and Spanish prepositional phrases: New evidence from acceptability judgment experiments. *Isogloss. Open Journal of Romance Linguistics*, *10*(1), 1–29." https://doi.org/10.5565/rev/isogloss.371,"@article{Heidinger_2024, author={Heidinger, S.}, title={Types of zero complements in French and Spanish prepositional phrases: New evidence from acceptability judgment experiments}, year={2024}, month={May}, volume={10}, ISSN={2385-4138}, DOI={10.5565/rev/isogloss.371}, number={1}, journal={Isogloss. Open Journal of Romance Linguistics}, pages={1–29} }"
P09,talk,2024,"Heidinger, S. (2024). *Types of zero complements in French and Spanish prepositional phrases: New evidence from acceptability judgment experiments*. SLE: Annual Meeting of the Societas Linguistica Europaea, Helsinki.","@misc{Heidinger_2024, author={Heidinger, S.}, title={Types of zero complements in French and Spanish prepositional phrases: New evidence from acceptability judgment experiments}, year={2024}, eventtitle={SLE: Annual Meeting of the Societas Linguistica Europaea}, venue={Helsinki} }"
P09,talk,2025,"Heidinger, S. (2025). *Aceptabilidad y frecuencia: El caso de las preposiciones huérfanas*. Deutscher Hispanistiktag, Hamburg.","@misc{Heidinger_2025, author={Heidinger, S.}, title={Aceptabilidad y frecuencia: El caso de las preposiciones huérfanas}, year={2025}, eventtitle={Deutscher Hispanistiktag}, venue={Hamburg} }"
P05,talk,2024,"Heidinger, S., & Arsenijević, B. (2024). *SFB: Language between redundancy and deficiency* [Invited talk]. Linguistisches Kolloquium, University of Graz.","@misc{Heidinger_Arsenijević_2024, author={Heidinger, S. and Arsenijević, B.}, title={SFB: Language between redundancy and deficiency}, year={2024}, eventtitle={Linguistisches Kolloquium}, venue={University of Graz} }"
P09,talk,2025,"Heidinger, S., & Da Cunha, Y. (2025). *Animacy restrictions without animacy features: Strong pronouns in French*. Going Romance, Venice.","@misc{Heidinger_Da Cunha_2025, author={Heidinger, S. and Da Cunha, Y.}, title={Animacy restrictions without animacy features: Strong pronouns in French}, year={2025}, eventtitle={Going Romance}, venue={Venice} }"
P09,talk,2025,"Heidinger, S., & Da Cunha, Y. (2025). *Redundanz, Defizienz und Wettbewerb: Belebtheit und Pronomen im Französischen und Spanisch* [Invited talk]. Oberseminar, Institut für Romanistik, Universität Regensburg, En ligne.","@misc{Heidinger_Da Cunha_2025, author={Heidinger, S. and Da Cunha, Y.}, title={Redundanz, Defizienz und Wettbewerb: Belebtheit und Pronomen im Französischen und Spanisch}, year={2025}, month={Jan}, eventtitle={Oberseminar, Institut für Romanistik, Universität Regensburg}, venue={En ligne} }"
P09,talk,2025,"Heidinger, S., & Da Cunha, Y. (2025). *Argument drop and competition effects: An experimental study on French and Spanish PPs.*. 58th Annual Meeting of the Societas Linguistica Europaea, Bordeaux.","@misc{Heidinger_Da Cunha_2025, author={Heidinger, S. and Da Cunha, Y.}, title={Argument drop and competition effects: An experimental study on French and Spanish PPs.}, year={2025}, month={Aug}, eventtitle={58th Annual Meeting of the Societas Linguistica Europaea}, venue={Bordeaux} }"
P09,talk,2026,"Heidinger, S., & Da Cunha, Y. (2026). Definiteness restrictions on null complements in Spanish and French PPs. In *Workshop “Ellipsis and the Architecture of Language: When and Why Can an Element Be Elided?”*. LIV Simposio de la Sociedad Española de Lingüística, Madrid.","@misc{Heidinger_Da Cunha_2026, author={Heidinger, S. and Da Cunha, Y.}, title={Definiteness restrictions on null complements in Spanish and French PPs}, year={2026}, eventtitle={LIV Simposio de la Sociedad Española de Lingüística}, venue={Madrid}, journal={Workshop “Ellipsis and the Architecture of Language: When and Why Can an Element Be Elided?”} }"
P09,talk,2026,"Heidinger, S., & Da Cunha, Y. (2026). *Restrictions d’animéité et effets de compétition dans le système pronominal du français* [Invited talk]. Séminaire “Les proformes et leurs antécédents,” Fribourg.","@misc{Heidinger_Da Cunha_2026, author={Heidinger, S. and Da Cunha, Y.}, title={Restrictions d’animéité et effets de compétition dans le système pronominal du français}, year={2026}, eventtitle={Séminaire “Les proformes et leurs antécédents”}, venue={Fribourg} }"
